Track name;Time;Displacement X Reference Frame;Displacement Y Reference Frame;Displacement Z Reference Frame;Position X Reference Frame;Position Y Reference Frame;Position Z Reference Frame;Velocity Angle X Reference Frame;Velocity Angle Y Reference Frame;Velocity Angle Z Reference Frame
1me_E1Skin;8;-0,43;16,51;2,21;-75,12;-83,06;-59,84;116,1;147,14;108,53
1me_E2EON;8;-12,01;39,24;-3,22;-50,94;-42,2;-55,83;128,72;43,52;106,74
1me_E2Skin;8;1,99;8,69;5,33;-43,53;-111,3;-41,4;59,32;130,12;55,27
1me_F1EON;8;1,3;31,71;-4,29;56,03;-43,69;-73,84;66,03;25,66;81,37
1me_F1Skin;8;0,1;19,39;6,34;56,96;-79,2;-54,96;90;90;90
1me_F2EON;8;-12,74;40,4;18,04;49,8;-56,46;-52,49;86,91;9,69;99,18
1me_F2Skin;8;-0,95;11,01;2;86,75;-47,76;-89,82;122,19;68,49;40,3
1me_A1EON;9;20,55;28,57;-22,76;-2,37;76,71;-101,88;60,49;77;147,21
1me_A1Skin;9;-3,42;16,43;-9,95;-55,5;35,35;-81,51;67,54;23,99;82
1me_A2EON;9;1,49;33,72;-34,13;-32,19;54,41;-99,56;77,89;12,48;92,93
1me_A2Skin;9;3,34;13,95;0,11;-86,09;36,42;-100,28;52,58;37,64;86,54
1me_B1EON;9;-4,49;25,66;-14,56;39,38;46,92;-98,33;39,45;119,68;66,53
1me_B1Skin;9;-2,11;-0,02;7,21;53,97;13,69;-69,14;127,45;49,06;63,38
1me_B2EON;9;6,28;19,2;-20,6;33,94;70,08;-106,21;113,41;47,14;128,03
1me_B2Skin;9;5,11;17,3;-6,09;38,73;82,58;-106,24;136,23;46,72;84,72
1me_C1EON;9;7,61;36,38;-10,85;-53,1;10,41;-68,8;100,53;28,04;115,67
1me_C1Skin;9;-2,76;22,39;-4,62;-44,09;-2,22;-47,78;117,22;48,49;126,37
1me_C2EON;9;7,69;29,32;-29,13;-29,09;26,91;-76,09;93,04;43,87;133,72
1me_C2Skin;9;-10,9;22,68;1,52;-19,32;-34,43;-24,8;162,55;75;98,7
1me_D1EON;9;3,45;35,25;-23,27;48,25;34,19;-95,32;44,97;61,95;121,85
1me_D1Skin;9;13,06;6,18;-8,72;40,31;-5,44;-46,45;129,33;121,5;55,22
1me_D2EON;9;-2,25;46,3;-9,65;52,28;7,38;-76,8;87,63;23,35;113,21
1me_D2Skin;9;1,07;19,45;-2,18;56,3;-32,7;-56,61;90,77;3,41;93,32
1me_E1EON;9;-11,34;44,01;-5,11;-59,08;-23,06;-58,15;104,8;40,83;127
1me_E1Skin;9;-2,3;11,04;2,11;-76,99;-88,53;-59,94;108,91;161,07;91,01
1me_E2EON;9;-16,77;40,98;-4,41;-55,7;-40,46;-57,02;145,61;63,48;110,24
1me_E2Skin;9;2,74;8,04;5,89;-42,78;-111,96;-40,85;46,99;59,55;58,2
1me_F1EON;9;4,97;42,82;2,31;59,7;-32,58;-67,24;64,3;28,69;101,89
1me_F1Skin;9;0,1;19,39;6,34;56,96;-79,2;-54,96;88,88;48,18;41,84
1me_F2EON;9;-12,16;46,23;16,52;50,38;-50,62;-54,01;87,9;20,15;110,03
1me_F2Skin;9;-3,64;16,21;5,62;84,06;-42,56;-86,2;92,17;29,97;119,88
1me_A1EON;10;20,12;29,45;-23,57;-2,79;77,58;-102,69;57,16;54,87;127,75
1me_A1Skin;10;-3,42;16,43;-9,95;-55,5;35,35;-81,51;105,61;45,06;130,9
1me_A2EON;10;3,56;31,99;-29,89;-30,12;52,69;-95,31;39,02;52,66;80,28
1me_A2Skin;10;6,41;18,56;0,92;-83,02;41,02;-99,47;56,7;34,59;81,71
1me_B1EON;10;-1,64;21,13;-10,49;42,23;42,4;-94,26;64,87;132,28;52,71
1me_B1Skin;10;-3,88;2,63;9,02;52,2;16,34;-67,33;118,94;43,76;60,38
1me_B2EON;10;4,78;19,63;-20,85;32,44;70,5;-106,47;161,78;74,44;99,26
1me_B2Skin;10;-0,29;23,4;-5,86;33,32;88,69;-106,01;138,51;49,94;80,95
1me_C1EON;10;6,81;41,14;-11,19;-53,89;15,17;-69,14;81,24;37,09;125,7
1me_C1Skin;10;-3,67;25,33;-7,37;-45,01;0,72;-50,52;102,78;44,55;131,74
1me_C2EON;10;7,45;35,51;-35,08;-29,32;33,09;-82,04;96,26;43,91;133,23
1me_C2Skin;10;-12,96;23,17;1,26;-21,38;-33,94;-25,06;164,93;76,72;97
1me_D1EON;10;8,24;36,62;-25,09;53,04;35,56;-97,14;37,21;66,95;117,44
1me_D1Skin;10;9,05;4,48;-6,66;36,3;-7,15;-44,39;134,22;118,56;57,72
1me_D2EON;10;-1;50,27;-9,44;53,53;11,35;-76,58;83,52;19,43;108,24
1me_D2Skin;10;1;24,06;-2,45;56,24;-28,09;-56,88;76,96;17,86;101,99
1me_E1EON;10;-14,89;47,08;-11,89;-62,62;-20;-64,92;104,01;19,64;103,49
1me_E1Skin;10;-2,3;11,04;2,11;-76,99;-88,53;-59,94;90;90;90
1me_E2EON;10;-18,47;42,74;-5,93;-57,41;-38,7;-58,54;126,27;52,44;121,85
1me_E2Skin;10;5,49;11,29;8,04;-40,03;-108,7;-38,7;54,87;46,96;63,22
1me_F1EON;10;7,47;44,17;-7,22;62,19;-31,23;-76,77;71,03;68,79;150,9
1me_F1Skin;10;0,18;22,06;9,32;57,04;-76,53;-51,97;86,87;20,08;70,19
1me_F2EON;10;-12,2;54,21;13;50,34;-42,65;-57,53;84,6;30,54;119,95
1me_F2Skin;10;-1,1;14,62;-0,07;86,6;-44,15;-91,89;58,74;93,77;148,46
1me_A1EON;11;22,7;30,85;-25,19;-0,22;78,99;-104,31;64,4;30,16;104,85
1me_A1Skin;11;-4,02;18,02;-11,42;-56,1;36,94;-82,98;163,26;98,7;75,8
1me_A2EON;11;4,08;35,74;-33,57;-29,59;56,44;-98,99;90,42;23,16;113,16
1me_A2Skin;11;6,41;18,56;0,92;-83,02;41,02;-99,47;151,93;67,62;106,05
1me_B1EON;11;-2,08;21,84;-11,12;41,79;43,1;-94,9;115,14;47,73;127,3
1me_B1Skin;11;-3,88;2,63;9,02;52,2;16,34;-67,33;106,27;132,51;47,01
1me_B2EON;11;4,78;19,63;-20,85;32,44;70,5;-106,47;89,45;136,03;46,03
1me_B2Skin;11;-0,84;22,41;-4,84;32,77;87,69;-104,99;111,04;130,72;48,13
1me_C1EON;11;8,65;41,85;-14,85;-52,05;15,87;-72,8;111,12;46,43;128,95
1me_C1Skin;11;-3,67;25,33;-7,37;-45,01;0,72;-50,52;90;135;45
1me_C2EON;11;6,16;39,42;-38,73;-30,62;37,01;-85,69;99,54;44,13;132,56
1me_C2Skin;11;-12,96;23,17;1,26;-21,38;-33,94;-25,06;7,13;90;97,13
1me_D1EON;11;8,68;37,82;-26,29;53,48;36,76;-98,35;50,04;125,69;60,19
1me_D1Skin;11;6,87;1,93;-3,97;34,11;-9,69;-41,7;122,04;37,65;72,38
1me_D2EON;11;-1,48;52,76;-11,8;53,06;13,84;-78,94;127,65;53,12;121,1
1me_D2Skin;11;2,35;24,86;-3,36;57,58;-27,29;-57,79;92,66;9,25;81,14
1me_E1EON;11;-12,89;50,06;-6,61;-60,63;-17,02;-59,65;78,14;32,54;60,19
1me_E1Skin;11;-2,3;11,04;2,11;-76,99;-88,53;-59,94;90;90;90
1me_E2EON;11;-17,57;41,81;-5,12;-56,5;-39,63;-57,73;103,92;44,74;131,41
1me_E2Skin;11;5,49;11,29;8,04;-40,03;-108,7;-38,7;41,38;64,23;119,86
1me_F1EON;11;10,24;48,68;-11,86;64,97;-26,72;-81,41;71,78;48,19;132,58
1me_F1Skin;11;0,34;23,57;7,85;57,21;-75,02;-53,45;85,56;44,52;134,18
1me_F2EON;11;-11,01;56,74;10,43;51,53;-40,12;-60,1;91,85;13,12;102,99
1me_F2Skin;11;0,55;15,68;-1,27;88,25;-43,09;-93,09;42,79;63,33;120,65
1me_A1EON;12;23,02;35,24;-25,28;0,1;83,38;-104,4;96,21;6,24;90,69
1me_A1Skin;12;-4,9;16,2;-9,57;-56,98;35,12;-81,13;135,79;117,57;58,57
1me_A2EON;12;3,5;39,77;-33,22;-30,18;60,47;-98,64;112,06;27,69;74,12
1me_A2Skin;12;4,57;19,35;0,34;-84,86;41,82;-100,04;36,35;69,5;61,44
1me_B1EON;12;-2,08;21,84;-11,12;41,79;43,1;-94,9;72,79;47,82;132,8
1me_B1Skin;12;-5,53;-1,36;13,04;50,55;12,35;-63,31;111,91;130,37;48,37
1me_B2EON;12;4,82;17,17;-18,49;32,48;68,05;-104,1;121,14;126,03;51,55
1me_B2Skin;12;-1,66;20,92;-3,32;31,95;86,21;-103,47;128,53;121,96;54,83
1me_C1EON;12;4,19;46,17;-15,77;-56,52;20,19;-73,72;112,46;38,79;119,77
1me_C1Skin;12;-3,67;25,33;-7,37;-45,01;0,72;-50,52;144,68;111,79;63,69
1me_C2EON;12;5,95;42,04;-41,23;-30,83;39,62;-88,2;111,75;46,62;128,71
1me_C2Skin;12;-12,96;23,17;1,26;-21,38;-33,94;-25,06;62,41;28,71;82,71
1me_D1EON;12;9,88;35,14;-23,82;54,68;34,08;-95,88;71,81;134,37;49,97
1me_D1Skin;12;4,67;11,02;-4,16;31,92;-0,61;-41,89;89,37;18,16;108,15
1me_D2EON;12;-4,78;53,97;-12,63;49,76;15,06;-79,77;147,34;64,59;109,11
1me_D2Skin;12;0,77;29,05;-1,67;56;-23,1;-56,1;124,19;46,31;62,93
1me_E1EON;12;-13,6;52,37;-8,77;-61,33;-14,71;-61,8;107,08;45,38;130,42
1me_E1Skin;12;-2,3;11,04;2,11;-76,99;-88,53;-59,94;90;90;90
1me_E2EON;12;-19,54;45,89;-8,86;-58,47;-35,55;-61,47;117,84;31,87;104,28
1me_E2Skin;12;6,38;11,81;7,44;-39,14;-108,19;-39,29;50,62;58,54;124,76
1me_F1EON;12;10,43;50,49;-13,63;65,16;-24,91;-83,18;90,33;12,47;102,47
1me_F1Skin;12;0,34;23,57;7,85;57,21;-75,02;-53,45;90;90;90
1me_F2EON;12;-12,52;63,73;10,81;50,03;-33,13;-59,72;106,24;17,79;97,08
1me_F2Skin;12;2,6;16,88;-2,64;90,3;-41,88;-94,47;41,8;63,96;120,1
1me_A1EON;13;22,22;35,28;-25,24;-0,7;83,42;-104,36;163,88;98,24;76,24
1me_A1Skin;13;-5,81;16,86;-10,11;-57,9;35,78;-81,67;174,29;84,3;89,59
1me_A2EON;13;2,64;39,14;-32,52;-31,03;59,84;-97,94;45,62;119,19;121,5
1me_A2Skin;13;11,4;20,73;3,88;-78,03;43,19;-96,51;32,01;90,61;58
1me_B1EON;13;-1,36;23,48;-12,78;42,51;44,74;-96,56;90,52;35,95;125,94
1me_B1Skin;13;-7,49;-3,63;15,44;48,6;10,08;-60,91;121,85;50,39;124,15
1me_B2EON;13;3,24;17,87;-19;30,9;68,75;-104,61;174,27;84,28;89,61
1me_B2Skin;13;-3,61;20,05;-2,27;30;85,34;-102,43;127,84;122,37;54,5
1me_C1EON;13;3,74;51,87;-21,23;-56,96;25,89;-79,19;115,27;47,78;127,24
1me_C1Skin;13;-5,67;24,42;-6,28;-47,01;-0,2;-49,44;144,68;111,79;63,69
1me_C2EON;13;2,72;45,8;-44,53;-34,05;43,39;-91,49;104,07;44,76;131,37
1me_C2Skin;13;-6,64;35,12;2,99;-15,07;-21,98;-23,33;58,1;32,36;85,14
1me_D1EON;13;9,59;35,79;-24,42;54,39;34,73;-96,47;52,01;57,73;125,43
1me_D1Skin;13;7,02;15,01;-8,26;34,26;3,39;-45,99;92,52;43,89;133,78
1me_D2EON;13;-5,54;54,83;-13,38;48,99;15,91;-80,52;74,73;47,16;133,18
1me_D2Skin;13;-4,27;33,01;2;50,96;-19,15;-52,43;120;32,58;78,45
1me_E1EON;13;-13,59;51,71;-8,14;-61,32;-15,36;-61,18;41,66;121;65,15
1me_E1Skin;13;-2,3;11,04;2,11;-76,99;-88,53;-59,94;126,09;52,35;121,95
1me_E2EON;13;-25;55,32;-9,05;-63,93;-26,12;-61,66;140,77;53,59;102,61
1me_E2Skin;13;6,7;12,29;6,94;-38,82;-107,7;-39,79;65,06;50,96;130,72
1me_F1EON;13;10,2;56,17;-13,52;64,92;-19,23;-83,06;84,74;20,1;109,35
1me_F1Skin;13;0,34;23,57;7,85;57,21;-75,02;-53,45;30,97;71,17;113,63
1me_F2EON;13;-14,56;68,84;8,86;47,98;-28,02;-61,67;97,36;28,65;117,52
1me_F2Skin;13;1,86;16,44;-2,14;89,55;-42,32;-93,97;138,21;116,05;59,9
1me_A1EON;14;19,64;34,74;-24,45;-3,28;82,87;-103,57;146,91;64,32;109,39
1me_A1Skin;14;-6,1;16,32;-9,56;-58,18;35,24;-81,12;110,16;131,08;47,89
1me_A2EON;14;5,62;38,3;-34,8;-28,06;58,99;-100,22;88,47;69,99;159,93
1me_A2Skin;14;12,36;19,25;5,2;-77,07;41,72;-95,18;63,59;131,81;53,27
1me_B1EON;14;-2,15;27,63;-15,33;41,72;48,9;-99,1;84,02;34,96;124,3
1me_B1Skin;14;-10,75;4,94;7,49;45,34;18,65;-68,86;111,71;46,61;128,72
1me_B2EON;14;1,93;17,46;-18,47;29,59;68,34;-104,08;137,96;58,78;115,09
1me_B2Skin;14;-4,18;18,72;-0,93;29,43;84;-101,08;106,72;132,36;47,1
1me_C1EON;14;0,23;52,39;-21,37;-60,47;26,41;-79,32;111,57;46,57;128,77
1me_C1Skin;14;-4,1;25,13;-7,13;-45,43;0,52;-50,29;35,32;68,21;116,31
1me_C2EON;14;4,37;46,63;-45,51;-32,4;44,22;-92,47;72,44;17,81;87,16
1me_C2Skin;14;-5,25;35,49;2,49;-13,68;-21,62;-23,83;23,77;76,22;108,97
1me_D1EON;14;12,84;37,7;-26,61;57,64;36,64;-98,66;70,85;48,54;132,36
1me_D1Skin;14;4,3;17,12;-10,01;31,54;5,49;-47,74;103,67;44,69;131,49
1me_D2EON;14;-3,18;58,1;-16,78;51,36;19,18;-83,93;77,38;46,34;133,61
1me_D2Skin;14;-2,85;35,15;-0,22;52,38;-17;-54,65;76,27;46,67;133,44
1me_E1EON;14;-7,75;48,33;-5,48;-55,48;-18,74;-58,51;14,69;103;83,28
1me_E1Skin;14;-5,02;13,86;-0,33;-79,71;-85,71;-62,38;122,3;50,59;123,93
1me_E2EON;14;-27,39;51,9;-11,07;-66,32;-29,54;-63,68;128,42;117,28;129,46
1me_E2Skin;14;6,7;12,29;6,94;-38,82;-107,7;-39,79;60,52;47,65;56,54
1me_F1EON;14;11,3;59,43;-16,78;66,03;-15,97;-86,33;67,04;50,09;131,34
1me_F1Skin;14;2,81;24,5;6,69;59,68;-74,09;-54,6;50,28;58,74;124,59
1me_F2EON;14;-14,43;76,86;3,89;48,11;-20;-66,64;94,42;33,89;123,53
1me_F2Skin;14;0,91;15,89;-1,51;88,61;-42,88;-93,33;90;90;90
1me_A1EON;15;17,33;37,81;-27,18;-5,59;85,95;-106,3;136,17;57,73;116,18
1me_A1Skin;15;-6,1;16,32;-9,56;-58,18;35,24;-81,12;90;90;90
1me_A2EON;15;2,77;40,72;-36,84;-30,91;61,41;-102,27;172,8;82,86;90,99
1me_A2Skin;15;13,79;17,14;7,1;-75,63;39,61;-93,29;85,3;136,14;46,52
1me_B1EON;15;-0,75;28,25;-16,06;43,12;49,51;-99,83;71,79;21,8;101,57
1me_B1Skin;15;-11,92;4,6;7,94;44,17;18,31;-68,4;106,34;45,21;130,66
1me_B2EON;15;1,57;19,03;-19,95;29,24;69,91;-105,56;132,22;55,52;118,52
1me_B2Skin;15;-4,18;18,72;-0,93;29,43;84;-101,08;137,19;116,69;59,34
1me_C1EON;15;2,65;53,91;-23,09;-58,05;27,93;-81,04;52,34;57,54;125,59
1me_C1Skin;15;-4,1;25,13;-7,13;-45,43;0,52;-50,29;64,06;65,27;37,25
1me_C2EON;15;4,4;51,1;-44,26;-32,37;48,69;-91,22;109,87;23,46;78,04
1me_C2Skin;15;-5,25;35,49;2,49;-13,68;-21,62;-23,83;172,88;90;82,88
1me_D1EON;15;11,2;39,04;-27,73;56;37,98;-99,79;121,07;50,05;124,54
1me_D1Skin;15;5,97;18,18;-11,21;33,21;6,55;-48,94;43,84;62,66;121,23
1me_D2EON;15;-4,14;59,25;-17,79;50,39;20,33;-84,94;105,57;45,05;130,91
1me_D2Skin;15;-2,4;38,41;-3,41;52,83;-13,74;-57,84;82,55;45,06;134,1
1me_E1EON;15;-10,01;50,88;-7,71;-57,74;-16,19;-60,74;76,23;14,32;86,16
1me_E1Skin;15;-6,51;16,04;-2,28;-81,2;-83,53;-64,33;116,99;48,4;126,48
1me_E2EON;15;-28,03;53,08;-12,15;-66,96;-28,36;-64,76;174,95;89,01;85,04
1me_E2Skin;15;9,44;16,04;10,01;-36,08;-103,96;-36,73;60,52;47,65;56,54
1me_F1EON;15;13,45;61,52;-19,02;68,17;-13,88;-88,57;67,09;50,07;131,35
1me_F1Skin;15;3,39;26,05;5,14;60,26;-72,54;-56,16;49,39;59,27;124,15
1me_F2EON;15;-15,45;78,41;2,5;47,09;-18,44;-68,04;78,1;135,59;48,03
1me_F2Skin;15;1,86;16,44;-2,14;89,55;-42,32;-93,97;55,17;128,26;57,39
1me_A1EON;16;16,35;37,17;-26,46;-6,57;85,31;-105,58;153,4;68,61;105,06
1me_A1Skin;16;-6,1;16,32;-9,56;-58,18;35,24;-81,12;90;90;90
1me_A2EON;16;2,2;38,72;-34,86;-31,48;59,42;-100,28;101,38;134,01;46,24
1me_A2Skin;16;12,67;16,48;7,85;-76,76;38,95;-92,53;101,27;134,04;46,22
1me_B1EON;16;-0,95;31,19;-16,09;42,92;52,45;-99,87;125,04;35,06;88,93
1me_B1Skin;16;-11,35;6,46;6,09;44,73;20,17;-70,26;26;74,63;110,44
1me_B2EON;16;-0,38;19,41;-20,11;27,28;70,28;-105,72;146,55;64,08;109,63
1me_B2Skin;16;-5,17;18,11;-0,24;28,44;83,4;-100,39;137,19;116,69;59,34
1me_C1EON;16;4,55;56,18;-25,49;-56,15;30,21;-83,44;69,76;48,96;132,09
1me_C1Skin;16;-2,63;26,54;-4,46;-43,97;1,93;-47,62;64,06;65,27;37,25
1me_C2EON;16;2,58;51,47;-44,42;-34,19;49,05;-91,38;167,61;78,71;95,05
1me_C2Skin;16;-5,25;35,49;2,49;-13,68;-21,62;-23,83;90;90;90
1me_D1EON;16;11,01;39,98;-28,62;55,81;38,92;-100,67;159,64;72,92;100,76
1me_D1Skin;16;5,97;18,18;-11,21;33,21;6,55;-48,94;63,55;51,66;130,21
1me_D2EON;16;-4,64;61,95;-20,35;49,9;23,03;-87,49;95,82;27,41;116,69
1me_D2Skin;16;-2;39,79;-4,79;53,23;-12,36;-59,22;74,1;134,89;49,2
1me_E1EON;16;-5,49;57,53;-4,84;-53,22;-9,55;-57,88;56,66;33,57;86,53
1me_E1Skin;16;-6,51;16,04;-2,28;-81,2;-83,53;-64,33;90;135;45
1me_E2EON;16;-30,84;51,96;-10,77;-69,77;-29,48;-63,38;147,82;109,67;65,62
1me_E2Skin;16;9,44;16,04;10,01;-36,08;-103,96;-36,73;90;90;90
1me_F1EON;16;12,93;62,12;-19,55;67,66;-13,28;-89,1;86,09;61,43;28,89
1me_F1Skin;16;3,72;25,21;5,92;60,58;-73,38;-55,38;74,27;134,92;49,15
1me_F2EON;16;-14,35;76,57;4,16;48,19;-20,29;-66,37;70,47;134,02;50,45
1me_F2Skin;16;1,42;15,34;-1,03;89,12;-43,42;-92,86;8,77;98,47;87,72
1me_A1EON;17;13,85;39,24;-28,19;-9,07;87,37;-107,31;120,72;49,9;124,71
1me_A1Skin;17;-6,1;16,32;-9,56;-58,18;35,24;-81,12;124,67;124,14;53,04
1me_A2EON;17;2,55;39,95;-36,07;-31,13;60,64;-101,5;27,25;64,19;81,85
1me_A2Skin;17;13,05;14,49;9,74;-76,38;36,95;-90,65;125,96;143,3;96,4
1me_B1EON;17;-2,89;31,29;-15,99;40,98;52,55;-99,76;149,78;66,19;107,5
1me_B1Skin;17;-10,75;4,94;7,49;45,34;18,65;-68,86;89;42,17;47,85
1me_B2EON;17;-0,57;20,15;-20,81;27,09;71,03;-106,42;100,32;44,22;132,38
1me_B2Skin;17;-5,17;18,11;-0,24;28,44;83,4;-100,39;90;90;90
1me_C1EON;17;4,93;58,22;-27,5;-55,78;32,25;-85,45;95,85;18,47;107,46
1me_C1Skin;17;-2,63;26,54;-4,46;-43,97;1,93;-47,62;89,36;136,03;46,04
1me_C2EON;17;4,24;51,13;-44,27;-32,53;48,72;-91,23;82,8;45,01;134,12
1me_C2Skin;17;-5,25;35,49;2,49;-13,68;-21,62;-23,83;48,5;124,88;61,07
1me_D1EON;17;8,09;40,02;-28,35;52,89;38,95;-100,4;174,72;89,3;84,76
1me_D1Skin;17;7,03;19,66;-12,76;34,28;8,04;-50,49;136,17;117,34;58,77
1me_D2EON;17;-4,85;65,47;-20,94;49,69;26,55;-88,08;89,31;22,18;112,17
1me_D2Skin;17;-1,98;37,32;-2,41;53,25;-14,83;-56,84;88,83;136,06;46,08
1me_E1EON;17;-4,2;59,69;-7,07;-51,93;-7,38;-60,1;81,52;50,45;139,19
1me_E1Skin;17;-6,51;16,04;-2,28;-81,2;-83,53;-64,33;69,42;31,87;66,8
1me_E2EON;17;-28,81;52,77;-11,77;-67,74;-28,67;-64,38;6,73;89,2;96,69
1me_E2Skin;17;9,44;16,04;10,01;-36,08;-103,96;-36,73;169,99;93,58;80,66
1me_F1EON;17;13,8;63,99;-14,48;68,53;-11,41;-84,03;60,96;57,54;46,37
1me_F1Skin;17;3,72;25,21;5,92;60,58;-73,38;-55,38;90;90;90
1me_F2EON;17;-13,55;74,46;6,12;48,99;-22,4;-64,41;72,74;134,59;49,65
1me_F2Skin;17;3,22;16,24;-2,09;90,92;-42,53;-93,91;35,93;67,81;116,68
1me_A1EON;18;13,58;40,66;-29,55;-9,34;88,8;-108,67;123,01;97,47;34,06
1me_A1Skin;18;-7,14;15,29;-8,46;-59,23;34,2;-80,01;124,67;124,14;53,04
1me_A2EON;18;5,99;40,58;-34,25;-27,69;61,27;-99,68;49,19;65,7;50,57
1me_A2Skin;18;7,49;9,4;6,87;-81,94;31,87;-93,52;119,87;150,11;91,2
1me_B1EON;18;-3,24;32,26;-16,89;40,63;53,52;-100,66;113,67;27,05;77,67
1me_B1Skin;18;-11,26;10,18;9,45;44,82;23,89;-66,89;95,29;21,22;69,51
1me_B2EON;18;-0,57;20,15;-20,81;27,09;71,03;-106,42;86,18;30,85;59,45
1me_B2Skin;18;-5,17;18,11;-0,24;28,44;83,4;-100,39;90;90;90
1me_C1EON;18;3,62;64,91;-28,25;-57,09;38,93;-86,2;104,43;16,22;97,27
1me_C1Skin;18;-2,62;26,01;-3,96;-43,96;1,4;-47,12;40,26;74,26;54,09
1me_C2EON;18;2,91;53,32;-46,25;-33,86;50,91;-93,21;90,06;44,01;134,01
1me_C2Skin;18;-2,3;32,94;4,65;-10,72;-24,17;-21,67;92,24;43,9;133,81
1me_D1EON;18;10,65;39,98;-28,59;55,46;38,92;-100,64;49,82;59,01;124,36
1me_D1Skin;18;4,3;17,12;-10,01;31,54;5,49;-47,74;133,26;84,7;43,75
1me_D2EON;18;-4,57;66,92;-22,37;49,96;28;-89,52;82,33;45,11;134,09
1me_D2Skin;18;-1,91;36,78;-1,89;53,32;-15,37;-56,32;114,67;70,48;32,32
1me_E1EON;18;-3,86;64,56;-13,2;-51,59;-2,52;-66,23;91,98;49,75;139,69
1me_E1Skin;18;-4,94;19,82;-0,52;-79,63;-79,74;-62,58;64,95;38,82;62,47
1me_E2EON;18;-27,45;52,01;-11,17;-66,38;-29,43;-63,78;44,48;62,26;121,58
1me_E2Skin;18;9,16;16,02;10,05;-36,36;-103,97;-36,68;165,44;77,09;96,64
1me_F1EON;18;15,62;65,09;-15,73;70,35;-10,31;-85,28;48,8;59,62;123,85
1me_F1Skin;18;3,72;25,21;5,92;60,58;-73,38;-55,38;90;90;90
1me_F2EON;18;-13,16;73,76;6,75;49,38;-23,1;-63,78;59,12;42,41;64,06
1me_F2Skin;18;3,81;16,46;-2,36;91,51;-42,31;-94,18;30,89;71,22;113,58
1me_A1EON;19;10,32;38,39;-22,84;-12,59;86,53;-101,96;116,25;108,6;33,04
1me_A1Skin;19;-7,14;15,29;-8,46;-59,23;34,2;-80,01;90;90;90
1me_A2EON;19;4,2;40,99;-34,46;-29,47;61,68;-99,89;111,79;46,63;128,69
1me_A2Skin;19;3,14;-2,77;9,32;-86,29;19,69;-91,06;119,36;148,62;79,87
1me_B1EON;19;-4,51;34,9;-15,13;39,36;56,16;-98,9;111,86;39,49;58,97
1me_B1Skin;19;-11,26;10,18;9,45;44,82;23,89;-66,89;90;90;90
1me_B2EON;19;-0,29;23,71;-18,7;27,37;74,59;-104,32;92,02;5,33;85,07
1me_B2Skin;19;-5,17;18,11;-0,24;28,44;83,4;-100,39;90;90;90
1me_C1EON;19;3,14;65,13;-28,41;-57,57;39,15;-86,36;133,52;56,23;117,76
1me_C1Skin;19;1,96;28,17;-0,94;-39,38;3,56;-44,1;39,02;68,57;59,16
1me_C2EON;19;4,24;53,06;-46,13;-32,54;50,65;-93,09;66,97;50,12;131,31
1me_C2Skin;19;-5,33;36,92;1,11;-13,75;-20,19;-25,2;63,8;51,54;130,3
1me_D1EON;19;10,42;41,87;-30,39;55,22;40,81;-102,44;53,06;37,06;92,51
1me_D1Skin;19;3,17;20,19;-8,68;30,41;8,56;-46,41;113,13;57,98;41,29
1me_D2EON;19;-4,57;66,92;-22,37;49,96;28;-89,52;72,11;134,44;49,87
1me_D2Skin;19;-4,05;38,98;1,78;51,18;-13,17;-52,65;116,53;62,63;39,87
1me_E1EON;19;-4,53;66,05;-14,57;-52,27;-1,03;-67,6;108,39;45,69;129,97
1me_E1Skin;19;-4,63;19,49;-0,23;-79,32;-80,08;-62,29;75,63;18,01;79,38
1me_E2EON;19;-25,91;54,67;-13,9;-64,84;-26,78;-66,51;31,48;65,27;71,79
1me_E2Skin;19;7,5;16,49;9,78;-38,02;-103,51;-36,96;161,94;74,55;99,14
1me_F1EON;19;17,73;67,01;-17,8;72,45;-8,39;-87,35;76,63;33,01;60,44
1me_F1Skin;19;3,72;25,21;5,92;60,58;-73,38;-55,38;117,74;67,67;36,93
1me_F2EON;19;-11,17;77,88;8,15;51,37;-18,98;-62,39;46,51;44,49;82,41
1me_F2Skin;19;4,99;16,9;-2,91;92,68;-41,87;-94,73;30,89;71,22;113,58
1me_A1EON;20;9,76;37,91;-22,31;-13,16;86,05;-101,43;128,27;122,11;54,71
1me_A1Skin;20;-7,14;15,29;-8,46;-59,23;34,2;-80,01;90;90;90
1me_A2EON;20;5,12;42,19;-35,72;-28,56;62,88;-101,15;11,73;85,08;100,63
1me_A2Skin;20;0,65;-2,5;9,32;-88,78;19,96;-91,07;102,56;133,68;46,39
1me_B1EON;20;-4,51;34,9;-15,13;39,36;56,16;-98,9;38,77;55,6;74,35
1me_B1Skin;20;-11,26;10,18;9,45;44,82;23,89;-66,89;90;90;90
1me_B2EON;20;-0,76;25,47;-20,35;26,91;76,35;-105,96;111,78;46,63;128,7
1me_B2Skin;20;-5,17;18,11;-0,24;28,44;83,4;-100,39;90;90;90
1me_C1EON;20;2,59;65,74;-28,94;-58,12;39,77;-86,89;140,56;60,33;113,47
1me_C1Skin;20;1,96;28,17;-0,94;-39,38;3,56;-44,1;90;90;90
1me_C2EON;20;4,17;55,39;-48,38;-32,6;52,98;-95,34;69,86;23,94;102,39
1me_C2Skin;20;-0,45;35,53;1,95;-8,88;-21,58;-24,36;6,81;83,41;88,28
